"cv_texto","talleres","competencias"
"Product manager: definí roadmap con priorización RICE, discovery con usuarios y métricas North Star.","product, rice, discovery","Producto"
"Product owner: gestioné backlog ágil, user stories y coordinación con squads de ingeniería.","backlog, user stories, agile","Producto"
"Growth PM: experimenté con A/B tests para mejorar activación y retención de usuarios.","ab testing, growth, retention","Producto"
"Product designer: realicé research de usuarios, wireframes y validación de prototipos con tests de usabilidad.","research, wireframes, usabilidad","Producto"
"Technical PM: traduje requisitos de negocio a specs técnicas, coordiné releases con ingeniería.","specs, releases, coordinacion","Producto"
"eCommerce manager: optimicé conversión de checkout, implementé medios de pago y programas de fidelización.","checkout, conversion, fidelizacion","eCommerce"
"Marketplace specialist: gestioné catálogo multi-vendor, onboarding de sellers y KPIs de GMV.","marketplace, sellers, gmv","eCommerce"
"Retail digital: integré tienda online con ERP, logística omnicanal y click-and-collect.","omnicanal, erp, fulfillment","eCommerce"
"CRO specialist: analicé funnel de conversión, heatmaps y experimentos para reducir abandono de carrito.","cro, heatmaps, funnel","eCommerce, Marketing"
"Customer success ecommerce: gestioné post-venta, NPS y programa de recompras.","post-venta, nps, recompras","eCommerce, Atención al Cliente"
"Arquitecto técnico: supervisé obra de edificio residencial, control de calidad de materiales y cumplimiento de plazos.","obra, supervision, materiales","Arquitectura y Construcción"
"Ingeniero civil de estructuras: calculé y diseñé estructuras de hormigón, planos y memoria de cálculo.","estructuras, calculo, planos","Arquitectura y Construcción"
"Project manager construcción: coordiné contratistas, presupuesto y cronograma de obra con metodología CPM.","cronograma, cpm, contratistas","Arquitectura y Construcción, Gestion de Proyectos"
"BIM coordinator: modelé edificio en Revit, clash detection y coordinación interdisciplinaria.","bim, revit, coordinacion","Arquitectura y Construcción"
"Maestro mayor de obras: dirigí cuadrillas, control de avance y seguridad en obra.","cuadrillas, avance, seguridad","Arquitectura y Construcción, Seguridad e Higiene"
"Ingeniero hidrólogo: modelé cuencas hidrográficas, estudios de caudales y diseño de sistemas de drenaje.","hidrologia, cuencas, drenaje","Recursos Hídricos"
"Especialista en agua potable: diseñé redes de abastecimiento, plantas potabilizadoras y control de calidad.","agua potable, plantas, calidad","Recursos Hídricos"
"Gestor de recursos hídricos: tramité permisos de uso de agua, monitoreo de cauces y gestión de conflictos.","permisos, cauces, gestion","Recursos Hídricos, Legal"
"Ingeniero sanitario: proyecté sistemas de tratamiento de aguas residuales y efluentes industriales.","aguas residuales, tratamiento, efluentes","Recursos Hídricos, Calidad"
"Hidráulica urbana: diseñé drenaje pluvial, alcantarillado y estudios de inundación con GIS.","drenaje, alcantarillado, gis","Recursos Hídricos"
"Ingeniero agrónomo con foco en inocuidad alimentaria: implementé HACCP en planta procesadora de frutas.","haccp, inocuidad, bpm","Agroindustria, Calidad"
"Gerente de producción agroindustrial: coordiné cosecha, empaque y trazabilidad para exportación.","cosecha, empaque, trazabilidad","Agroindustria, Producción"
"Especialista en certificaciones agroalimentarias: audité procesos para GlobalGAP y Orgánico.","globalgap, organico, auditorias","Agroindustria, Calidad"
"Ingeniero de alimentos: desarrollé nuevos productos, análisis sensorial y vida útil.","desarrollo, sensorial, vida util","Agroindustria"
"Supply chain agroindustrial: gestioné proveedores de materia prima, contratos y logística de perecederos.","supply, perecederos, contratos","Agroindustria, Logística, Compras"
"Biotecnólogo: realicé cultivos celulares, PCR y western blot para investigación en inmunología.","cultivo celular, pcr, western blot","Biotecnología"
"Bioinformático: analicé datos genómicos con pipelines NGS y herramientas de anotación funcional.","ngs, genomica, bioinformatica","Biotecnología, Analisis de Datos"
"Especialista en bioprocessing: optimicé fermentaciones para producción de proteínas recombinantes.","fermentacion, bioprocesos, proteinas","Biotecnología, Producción"
"Investigador en terapia génica: coordiné ensayos preclínicos y gestión de protocolos GLP.","terapia genica, glp, ensayos","Biotecnología, Investigación y Academia"
"Lab manager biotecnología: gestioné inventarios de reactivos, equipos y cumplimiento de normativas bioseguridad.","lab, bioseguridad, reactivos","Biotecnología, Calidad"
"Ingeniero de energías renovables: dimensioné sistemas fotovoltaicos, análisis de radiación y retorno LCOE.","fotovoltaica, lcoe, radiacion","Energías Renovables"
"Project manager eólico: coordiné instalación de parques eólicos, permisos y estudios de impacto ambiental.","eolico, eia, permisos","Energías Renovables, Gestion de Proyectos"
"Técnico solar: instalé paneles, inversores y configuración de sistemas on-grid y off-grid.","instalacion, inversores, on-grid","Energías Renovables"
"Consultor en eficiencia energética: audité edificios, recomendaciones de ahorro y simulación energética.","auditoria, eficiencia, simulacion","Energías Renovables, Calidad"
"Ingeniero biomasa: diseñé sistemas de generación con residuos agrícolas y forestales.","biomasa, generacion, residuos","Energías Renovables, Producción"
"Ingeniero de petróleos: planifiqué operaciones de perforación, diseño de pozos y análisis de registros.","perforacion, pozos, registros","Petróleo y Gas"
"Production engineer O&G: optimicé producción de pozos, tratamiento de crudo y gestión de reservorios.","produccion, crudo, reservorios","Petróleo y Gas, Producción"
"Especialista en cementación: supervisé trabajos de cementación primaria y remedial en pozo.","cementacion, pozo, remedial","Petróleo y Gas"
"HSE oil and gas: lideré programas de seguridad en plataformas offshore y simulacros de emergencia.","offshore, hse, simulacros","Petróleo y Gas, Seguridad e Higiene"
"Facilit

ies engineer: mantuve infraestructura de superficie, compresores y sistemas SCADA.","facilities, compresores, scada","Petróleo y Gas, Mantenimiento"
"Ingeniero de minas: planifiqué voladura en mina a cielo abierto, diseño de bancos y transporte de mineral.","voladura, mina, mineral","Minería, Producción"
"Geólogo de exploración: realicé mapeo geológico, muestreo y estimación de recursos minerales.","geologia, exploracion, recursos","Minería"
"Ingeniero en seguridad minera: gestioné planes de emergencia, ventilación y control de riesgos en mina subterránea.","ventilacion, subterranea, riesgos","Minería, Seguridad e Higiene"
"Metalurgista: optimicé procesos de flotación, molienda y recuperación de metales en planta concentradora.","flotacion, molienda, metalurgia","Minería, Producción"
"Supervisor de perforación minera: coordiné equipos de perforación, control de parámetros y avance de túneles.","perforacion, tuneles, avance","Minería"
"Ingeniero de telecomunicaciones: planifiqué red LTE/5G, dimensionamiento de celdas y KPIs de cobertura.","lte, 5g, cobertura","Telecomunicaciones"
"NOC engineer: monitoré red de telecomunicaciones, troubleshooting y gestión de incidentes nivel 2.","noc, troubleshooting, incidentes","Telecomunicaciones, Soporte Técnico"
"RF engineer: optimicé parámetros de radio, drive tests y análisis de interferencias.","rf, drive test, interferencias","Telecomunicaciones"
"Arquitecto de redes: diseñé topologías de red, core transport y soluciones SDN para operador móvil.","arquitectura, sdn, core","Telecomunicaciones"
"Ingeniero de transmisión: gestioné radioenlaces, fibra óptica y sincronización de red.","radioenlaces, fibra, sincronizacion","Telecomunicaciones"
"Analista de riesgo crediticio: construí modelos de scoring, segmentación de cartera y políticas de aprobación.","scoring, riesgo, cartera","Banca y Servicios Financieros, Finanzas"
"Gerente de sucursal bancaria: lideré equipo comercial, cumplimiento normativo y KPIs de colocación de productos.","sucursal, comercial, kpis","Banca y Servicios Financieros, Ventas"
"Especialista en prevención de fraude: analicé transacciones sospechosas, reglas antifraude y gestión de alertas.","fraude, alertas, aml","Banca y Servicios Financieros, Ciberseguridad"
"Product manager banca digital: lancé app móvil, onboarding digital y experiencia de usuario en servicios financieros.","banca digital, app, ux","Banca y Servicios Financieros, Producto"
"Tesorero corporativo: gestioné liquidez, inversiones de corto plazo y cobertura de riesgo cambiario.","tesoreria, liquidez, cobertura","Banca y Servicios Financieros, Finanzas"
"Actuario de seguros: calculé primas, reservas técnicas y análisis de siniestralidad para ramos generales.","actuarial, primas, reservas","Seguros, Finanzas"
"Suscriptor de seguros: evalué riesgos, aceptación de pólizas y definición de condiciones de cobertura.","suscripcion, polizas, riesgo","Seguros"
"Claims adjuster: gestioné siniestros, peritajes y liquidaciones con foco en satisfacción del asegurado.","siniestros, peritajes, liquidaciones","Seguros, Atención al Cliente"
"Gerente de canales seguros: coordiné red de brokers, capacitaciones y seguimiento de producción.","brokers, canales, produccion","Seguros, Ventas"
"Especialista en seguros de vida: diseñé productos de vida individual y colectivo, análisis de mortalidad.","vida, mortalidad, productos","Seguros, Finanzas"
"Consultor en modernización del Estado: implementé proyectos de gobierno digital, interoperabilidad y datos abiertos.","gobierno digital, interoperabilidad, open data","Gobierno y Sector Público, Gestion de Proyectos"
"Analista de políticas públicas: evaluó impacto de programas sociales con análisis cuantitativo y cualitativo.","politicas publicas, impacto, evaluacion","Gobierno y Sector Público, Analisis de Datos"
"Gestor de compras públicas: coordiné licitaciones, evaluación de ofertas y cumplimiento normativo de contratos.","licitaciones, compras publicas, contratos","Gobierno y Sector Público, Compras, Legal"
"Coordinador de transparencia: gestioné solicitudes de información pública, portal de datos y auditorías de acceso.","transparencia, acceso, auditorias","Gobierno y Sector Público, Legal"
"Especialista en participación ciudadana: diseñé mecanismos de consulta, presupuesto participativo y engagement digital.","participacion, presupuesto, engagement","Gobierno y Sector Público, Administración"
"Revenue manager hotelero: optimicé tarifas dinámicas, análisis de RevPAR y gestión de canales OTA.","revenue, revpar, ota","Turismo y Hotelería, Finanzas"
"Gerente de operaciones hoteleras: coordiné front office, housekeeping y calidad de servicio con enfoque en guest experience.","operaciones, housekeeping, guest experience","Turismo y Hotelería, Atención al Cliente"
"Tour operator: diseñé paquetes turísticos, negociación con proveedores y logística de grupos.","paquetes, grupos, logistica","Turismo y Hotelería, Ventas, Logística"
"Event planner: organicé eventos corporativos y sociales, coordinación de proveedores y protocolo.","eventos, proveedores, protocolo","Turismo y Hotelería, Administración"
"Community manager turismo: gestioné redes sociales de destino turístico, contenido y campañas de atracción de visitantes.","comunidad, contenido, destino","Turismo y Hotelería, Marketing"
"Psicólogo clínico: realicé terapia individual y grupal, evaluaciones psicológicas y seguimiento de pacientes.","terapia, evaluaciones, seguimiento","Salud Mental"
"Psiquiatra: diagnostiqué y traté trastornos mentales, psicofarmacología y coordinación con equipo interdisciplinario.","psiquiatria, psicofarmacologia, diagnostico","Salud Mental, Salud"
"Terapeuta ocupacional en salud mental: diseñé intervenciones para rehabilitación psicosocial y vida independiente.","rehabilitacion, psicosocial, intervencion","Salud Mental"
"Counselor: brindé orientación en crisis, técnicas de afrontamiento y derivaciones a servicios especializados.","crisis, afrontamiento, derivaciones","Salud Mental"
"Coordinador de salud mental comunitaria: gestioné centro de día, talleres de psicoeducación y red de apoyo.","centro de dia, psicoeducacion, red","Salud Mental, Salud"
"Médico veterinario clínico: atendí consultas de pequeños animales, diagnóstico y tratamiento de patologías.","clinica, diagnostico, patologias","Veterinaria, Salud"
"Veterinario de producción animal: asesoré en manejo sanitario de rodeos, vacunaciones y control parasitario.","produccion animal, vacunaciones, sanidad","Veterinaria, Agroindustria"
"Cirujano veterinario: realicé cirugías de tejidos blandos y ortopédicas en animales de compañía.","cirugia, ortopedia, tejidos blandos","Veterinaria, Salud"
"Inspector veterinario: supervisé frigoríficos, control de carnes y cumplimiento de normativas de inocuidad.","inspeccion, frigorificos, inocuidad","Veterinaria, Calidad"
"Veterinario de fauna silvestre: atendí animales silvestres en rehabilitación y coordiné liberaciones.","fauna, rehabilitacion, silvestre","Veterinaria"
"Traductor técnico: traduje manuales, especificaciones y documentación de ingeniería en inglés-español.","traduccion, tecnico, manuales","Traducción e Interpretación"
"Intérprete consecutivo: realicé interpretaciones en conferencias, seminarios y reuniones de negocios.","interpretacion, consecutivo, conferencias","Traducción e Interpretación"
"Traductor jurado: traduje documentos legales, contratos y certificaciones con sello oficial.","jurado, legal, certificaciones","Traducción e Interpretación, Legal"
"Localizador de software: adapté interfaces, strings y ayuda contextual para mercados hispanohablantes.","localizacion, software, strings","Traducción e Interpretación, Ingeniería de Software"
"Subtitulador: creé subtítulos para contenido audiovisual con sincronización y control de caracteres.","subtitulos, audiovisual, sincronizacion","Traducción e Interpretación"
"Investigador científico: publiqué artículos en revistas indexadas, gestión de proyectos de investigación y fondos.","investigacion, publicaciones, fondos","Investigación y Academia"
"Docente universitario: dicté cátedras de grado y posgrado, dirección de tesis y extensión universitaria.","docencia, tesis, catedra","Investigación y Academia, Educación"
"Becario doctoral: realicé investigación experimental, asistencia en proyectos y formación continua.","doctorado, becas, laboratorio","Investigación y Academia"
"Asistente de investigación: recolecté datos, análisis estadístico y preparación de reportes científicos.","datos, estadistica, reportes","Investigación y Academia, Analisis de Datos"
"Coordinador de laboratorio de investigación: gestioné equipamiento, insumos y protocolos de bioseguridad en lab académico.","laboratorio, equipamiento, protocolos","Investigación y Academia, Calidad"
"Gerente de tienda retail: lideré equipo de ventas, control de stock y merchandising visual.","ventas, stock, merchandising","Retail Operaciones, Ventas"
"Supervisor de piso de ventas: coordiné cajeros, reposición y atención al cliente en supermercado.","supervisor, cajeros, reposicion","Retail Operaciones, Atención al Cliente"
"Analista de pérdidas retail: investigué mermas, control de inventarios y auditorías de prevención.","mermas, inventarios, prevencion","Retail Operaciones, Calidad"
"Visual merchandiser: diseñé vitrinas, layout de tienda y exhibiciones para maximizar ventas.","vitrinas, layout, exhibiciones","Retail Operaciones, Diseño"
"Omnichannel specialist: integré tienda física con ecommerce, fulfillment y click-and-collect.","omnicanal, fulfillment, integracion","Retail Operaciones, eCommerce, Logística"
"Despachante de aduana: tramité importaciones y exportaciones, clasificación arancelaria y documentación.","aduana, importaciones, arancelaria","Comercio Exterior"
"Analista de comercio exterior: coordiné logistics internacionales, incoterms y financiamiento de operaciones.","incoterms, logistics, financiamiento","Comercio Exterior, Logística"
"Especialista en drawback: gestioné recuperos de tributos aduaneros y documentación de reintegros.","drawback, tributos, reintegros","Comercio Exterior, Contabilidad"

